year,month,Market,RiskfreeRate
1926,7,0.0318,0.0022
1926,8,0.0289,0.0025
1926,9,0.0059,0.0023
1926,10,-0.0292,0.0032
1926,11,0.0284,0.0031
1926,12,0.0290,0.0028
1927,1,0.0019,0.0025
1927,2,0.0444,0.0026
1927,3,0.0043,0.0030
1927,4,0.0071,0.0025
1927,5,0.0574,0.0030
1927,6,-0.0208,0.0026
1927,7,0.0756,0.0030
1927,8,0.0225,0.0028
1927,9,0.0497,0.0021
1927,10,-0.0406,0.0025
1927,11,0.0679,0.0021
1927,12,0.0231,0.0022
1928,1,-0.0043,0.0025
1928,2,-0.0137,0.0033
1928,3,0.0910,0.0029
1928,4,0.0445,0.0022
1928,5,0.0184,0.0032
1928,6,-0.0454,0.0031
1928,7,0.0094,0.0032
1928,8,0.0700,0.0032
1928,9,0.0315,0.0027
1928,10,0.0174,0.0041
1928,11,0.1219,0.0038
1928,12,0.0042,0.0006
1929,1,0.0500,0.0034
1929,2,0.0002,0.0036
1929,3,-0.0055,0.0034
1929,4,0.0179,0.0036
1929,5,-0.0595,0.0044
1929,6,0.1022,0.0052
1929,7,0.0479,0.0033
1929,8,0.0858,0.0040
1929,9,-0.0512,0.0035
1929,10,-0.1966,0.0046
1929,11,-0.1237,0.0037
1929,12,0.0170,0.0037
1930,1,0.0575,0.0014
1930,2,0.0280,0.0030
1930,3,0.0745,0.0035
1930,4,-0.0185,0.0021
1930,5,-0.0140,0.0026
1930,6,-0.1600,0.0027
1930,7,0.0432,0.0020
1930,8,0.0039,0.0009
1930,9,-0.1253,0.0022
1930,10,-0.0869,0.0009
1930,11,-0.0291,0.0013
1930,12,-0.0769,0.0014
1931,1,0.0639,0.0015
1931,2,0.1092,0.0004
1931,3,-0.0630,0.0013
1931,4,-0.0990,0.0008
1931,5,-0.1315,0.0009
1931,6,0.1398,0.0008
1931,7,-0.0656,0.0006
1931,8,0.0044,0.0003
1931,9,-0.2910,0.0003
1931,10,0.0814,0.0010
1931,11,-0.0891,0.0017
1931,12,-0.1341,0.0012
1932,1,-0.0135,0.0023
1932,2,0.0569,0.0023
1932,3,-0.1105,0.0016
1932,4,-0.1785,0.0011
1932,5,-0.2045,0.0006
1932,6,-0.0068,0.0002
1932,7,0.3387,0.0003
1932,8,0.3709,0.0003
1932,9,-0.0291,0.0003
1932,10,-0.1315,0.0002
1932,11,-0.0586,0.0002
1932,12,0.0441,0.0001
1933,1,0.0126,0.0001
1933,2,-0.1527,-0.0003
1933,3,0.0333,0.0004
1933,4,0.3895,0.0010
1933,5,0.2147,0.0004
1933,6,0.1313,0.0002
1933,7,-0.0961,0.0002
1933,8,0.1208,0.0003
1933,9,-0.1063,0.0002
1933,10,-0.0835,0.0001
1933,11,0.0999,0.0002
1933,12,0.0185,0.0002
1934,1,0.1265,0.0005
1934,2,-0.0248,0.0002
1934,3,0.0011,0.0002
1934,4,-0.0178,0.0001
1934,5,-0.0724,0.0001
1934,6,0.0265,0.0001
1934,7,-0.1095,0.0001
1934,8,0.0559,0.0001
1934,9,-0.0022,0.0001
1934,10,-0.0165,0.0001
1934,11,0.0834,0.0001
1934,12,0.0037,0.0001
1935,1,-0.0344,0.0001
1935,2,-0.0192,0.0002
1935,3,-0.0367,0.0001
1935,4,0.0907,0.0001
1935,5,0.0348,0.0001
1935,6,0.0594,0.0001
1935,7,0.0752,0.0001
1935,8,0.0266,0.0001
1935,9,0.0264,0.0001
1935,10,0.0704,0.0001
1935,11,0.0490,0.0002
1935,12,0.0457,0.0001
1936,1,0.0690,0.0001
1936,2,0.0250,0.0001
1936,3,0.0101,0.0002
1936,4,-0.0812,0.0002
1936,5,0.0521,0.0002
1936,6,0.0243,0.0003
1936,7,0.0668,0.0001
1936,8,0.0101,0.0002
1936,9,0.0099,0.0001
1936,10,0.0714,0.0002
1936,11,0.0328,0.0001
1936,12,0.0021,0.0000
1937,1,0.0336,0.0001
1937,2,0.0111,0.0002
1937,3,-0.0026,0.0001
1937,4,-0.0733,0.0003
1937,5,-0.0077,0.0006
1937,6,-0.0418,0.0003
1937,7,0.0894,0.0003
1937,8,-0.0484,0.0002
1937,9,-0.1357,0.0004
1937,10,-0.0959,0.0002
1937,11,-0.0829,0.0002
1937,12,-0.0424,0.0000
1938,1,0.0049,0.0000
1938,2,0.0584,0.0000
1938,3,-0.2383,-0.0001
1938,4,0.1452,0.0001
1938,5,-0.0383,0.0000
1938,6,0.2387,0.0000
1938,7,0.0733,-0.0001
1938,8,-0.0267,0.0000
1938,9,0.0083,0.0002
1938,10,0.0781,0.0001
1938,11,-0.0178,-0.0006
1938,12,0.0419,0.0000
1939,1,-0.0597,-0.0001
1939,2,0.0352,0.0001
1939,3,-0.1200,-0.0001
1939,4,-0.0018,0.0000
1939,5,0.0681,0.0001
1939,6,-0.0530,0.0001
1939,7,0.1024,0.0000
1939,8,-0.0669,-0.0001
1939,9,0.1689,0.0001
1939,10,-0.0053,0.0000
1939,11,-0.0362,0.0000
1939,12,0.0303,0.0000
1940,1,-0.0241,0.0000
1940,2,0.0144,0.0000
1940,3,0.0205,0.0000
1940,4,0.0022,0.0000
1940,5,-0.2197,-0.0002
1940,6,0.0667,0.0000
1940,7,0.0317,0.0001
1940,8,0.0218,-0.0001
1940,9,0.0239,0.0000
1940,10,0.0302,0.0000
1940,11,-0.0161,0.0000
1940,12,0.0069,0.0000
1941,1,-0.0418,-0.0001
1941,2,-0.0144,-0.0001
1941,3,0.0085,0.0001
1941,4,-0.0547,-0.0001
1941,5,0.0139,0.0000
1941,6,0.0583,0.0000
1941,7,0.0590,0.0003
1941,8,-0.0016,0.0001
1941,9,-0.0086,0.0001
1941,10,-0.0525,0.0000
1941,11,-0.0192,0.0000
1941,12,-0.0486,0.0001
1942,1,0.0081,0.0002
1942,2,-0.0245,0.0001
1942,3,-0.0657,0.0001
1942,4,-0.0436,0.0001
1942,5,0.0597,0.0003
1942,6,0.0271,0.0002
1942,7,0.0354,0.0003
1942,8,0.0183,0.0003
1942,9,0.0264,0.0003
1942,10,0.0685,0.0003
1942,11,0.0018,0.0003
1942,12,0.0515,0.0003
1943,1,0.0716,0.0003
1943,2,0.0618,0.0003
1943,3,0.0604,0.0003
1943,4,0.0084,0.0003
1943,5,0.0577,0.0003
1943,6,0.0185,0.0003
1943,7,-0.0474,0.0003
1943,8,0.0133,0.0003
1943,9,0.0243,0.0003
1943,10,-0.0112,0.0003
1943,11,-0.0588,0.0003
1943,12,0.0639,0.0003
1944,1,0.0177,0.0003
1944,2,0.0040,0.0003
1944,3,0.0248,0.0002
1944,4,-0.0166,0.0003
1944,5,0.0510,0.0003
1944,6,0.0552,0.0003
1944,7,-0.0146,0.0003
1944,8,0.0160,0.0003
1944,9,0.0003,0.0002
1944,10,0.0019,0.0003
1944,11,0.0174,0.0003
1944,12,0.0405,0.0002
1945,1,0.0204,0.0003
1945,2,0.0625,0.0002
1945,3,-0.0387,0.0002
1945,4,0.0783,0.0003
1945,5,0.0176,0.0003
1945,6,0.0041,0.0002
1945,7,-0.0214,0.0003
1945,8,0.0623,0.0003
1945,9,0.0480,0.0003
1945,10,0.0392,0.0003
1945,11,0.0541,0.0002
1945,12,0.0123,0.0003
1946,1,0.0627,0.0003
1946,2,-0.0580,0.0003
1946,3,0.0590,0.0003
1946,4,0.0426,0.0003
1946,5,0.0396,0.0003
1946,6,-0.0386,0.0003
1946,7,-0.0266,0.0003
1946,8,-0.0641,0.0003
1946,9,-0.1014,0.0003
1946,10,-0.0141,0.0003
1946,11,0.0002,0.0003
1946,12,0.0499,0.0003
1947,1,0.0128,0.0003
1947,2,-0.0105,0.0003
1947,3,-0.0164,0.0003
1947,4,-0.0477,0.0003
1947,5,-0.0094,0.0003
1947,6,0.0532,0.0003
1947,7,0.0417,0.0003
1947,8,-0.0171,0.0003
1947,9,-0.0048,0.0006
1947,10,0.0253,0.0006
1947,11,-0.0191,0.0006
1947,12,0.0308,0.0008
1948,1,-0.0386,0.0007
1948,2,-0.0431,0.0007
1948,3,0.0816,0.0009
1948,4,0.0373,0.0008
1948,5,0.0738,0.0008
1948,6,-0.0001,0.0009
1948,7,-0.0501,0.0008
1948,8,0.0034,0.0009
1948,9,-0.0293,0.0004
1948,10,0.0600,0.0004
1948,11,-0.0926,0.0004
1948,12,0.0330,0.0004
1949,1,0.0033,0.0010
1949,2,-0.0284,0.0009
1949,3,0.0414,0.0010
1949,4,-0.0178,0.0009
1949,5,-0.0284,0.0010
1949,6,0.0020,0.0010
1949,7,0.0563,0.0009
1949,8,0.0269,0.0009
1949,9,0.0318,0.0009
1949,10,0.0323,0.0009
1949,11,0.0190,0.0008
1949,12,0.0522,0.0009
1950,1,0.0179,0.0009
1950,2,0.0157,0.0009
1950,3,0.0136,0.0010
1950,4,0.0403,0.0009
1950,5,0.0441,0.0010
1950,6,-0.0584,0.0010
1950,7,0.0146,0.0010
1950,8,0.0495,0.0010
1950,9,0.0491,0.0010
1950,10,-0.0006,0.0012
1950,11,0.0287,0.0011
1950,12,0.0565,0.0011
1951,1,0.0583,0.0013
1951,2,0.0151,0.0010
1951,3,-0.0204,0.0011
1951,4,0.0499,0.0013
1951,5,-0.0222,0.0012
1951,6,-0.0250,0.0012
1951,7,0.0707,0.0013
1951,8,0.0440,0.0013
1951,9,0.0082,0.0012
1951,10,-0.0237,0.0016
1951,11,0.0068,0.0011
1951,12,0.0345,0.0012
1952,1,0.0160,0.0015
1952,2,-0.0250,0.0012
1952,3,0.0455,0.0011
1952,4,-0.0485,0.0012
1952,5,0.0333,0.0013
1952,6,0.0398,0.0015
1952,7,0.0106,0.0015
1952,8,-0.0061,0.0015
1952,9,-0.0187,0.0016
1952,10,-0.0052,0.0014
1952,11,0.0604,0.0010
1952,12,0.0309,0.0016
1953,1,-0.0018,0.0016
1953,2,-0.0013,0.0014
1953,3,-0.0125,0.0018
1953,4,-0.0267,0.0016
1953,5,0.0069,0.0017
1953,6,-0.0171,0.0018
1953,7,0.0255,0.0015
1953,8,-0.0435,0.0017
1953,9,0.0036,0.0016
1953,10,0.0473,0.0013
1953,11,0.0291,0.0008
1953,12,0.0016,0.0013
1954,1,0.0524,0.0011
1954,2,0.0174,0.0007
1954,3,0.0373,0.0008
1954,4,0.0436,0.0009
1954,5,0.0314,0.0005
1954,6,0.0113,0.0006
1954,7,0.0504,0.0005
1954,8,-0.0229,0.0005
1954,9,0.0648,0.0009
1954,10,-0.0160,0.0007
1954,11,0.0944,0.0006
1954,12,0.0556,0.0008
1955,1,0.0068,0.0008
1955,2,0.0311,0.0009
1955,3,-0.0006,0.0010
1955,4,0.0321,0.0010
1955,5,0.0107,0.0014
1955,6,0.0665,0.0010
1955,7,0.0200,0.0010
1955,8,0.0037,0.0016
1955,9,-0.0020,0.0016
1955,10,-0.0250,0.0018
1955,11,0.0720,0.0017
1955,12,0.0167,0.0018
1956,1,-0.0281,0.0022
1956,2,0.0396,0.0019
1956,3,0.0679,0.0015
1956,4,0.0047,0.0019
1956,5,-0.0497,0.0023
1956,6,0.0368,0.0020
1956,7,0.0506,0.0022
1956,8,-0.0301,0.0017
1956,9,-0.0496,0.0018
1956,10,0.0077,0.0025
1956,11,0.0056,0.0020
1956,12,0.0340,0.0024
1957,1,-0.0331,0.0027
1957,2,-0.0182,0.0024
1957,3,0.0236,0.0023
1957,4,0.0451,0.0025
1957,5,0.0371,0.0026
1957,6,-0.0050,0.0024
1957,7,0.0096,0.0030
1957,8,-0.0486,0.0025
1957,9,-0.0572,0.0026
1957,10,-0.0403,0.0029
1957,11,0.0258,0.0028
1957,12,-0.0367,0.0024
1958,1,0.0494,0.0028
1958,2,-0.0140,0.0012
1958,3,0.0336,0.0009
1958,4,0.0317,0.0008
1958,5,0.0242,0.0011
1958,6,0.0296,0.0003
1958,7,0.0446,0.0007
1958,8,0.0195,0.0004
1958,9,0.0485,0.0019
1958,10,0.0271,0.0018
1958,11,0.0312,0.0011
1958,12,0.0537,0.0022
1959,1,0.0092,0.0021
1959,2,0.0114,0.0019
1959,3,0.0050,0.0022
1959,4,0.0386,0.0020
1959,5,0.0195,0.0022
1959,6,0.0000,0.0025
1959,7,0.0342,0.0025
1959,8,-0.0120,0.0019
1959,9,-0.0449,0.0031
1959,10,0.0158,0.0030
1959,11,0.0186,0.0026
1959,12,0.0279,0.0034
1960,1,-0.0665,0.0033
1960,2,0.0146,0.0029
1960,3,-0.0128,0.0035
1960,4,-0.0152,0.0019
1960,5,0.0339,0.0027
1960,6,0.0232,0.0024
1960,7,-0.0224,0.0013
1960,8,0.0318,0.0017
