year,month,rank,RET
2000,1,0,-0.06808685
2000,1,1,0.008104625000000004
2000,1,2,-0.0009001749999999976
2000,1,3,-0.032988
2000,1,4,0.012534350000000003
2000,1,5,-0.01002584615384616
2000,1,6,0.04019205
2000,1,7,0.027671
2000,1,8,0.007743900000000001
2000,1,9,0.066844875
2000,1,diff,0.134931725
2000,2,0,0.169030175
2000,2,1,0.107938625
2000,2,2,0.07812282051282052
2000,2,3,-0.002299275
2000,2,4,-0.02100841025641026
2000,2,5,-0.026356200000000003
2000,2,6,0.028166128205128205
2000,2,7,0.00973635
2000,2,8,-0.022936128205128206
2000,2,9,0.061372949999999996
2000,2,diff,-0.10765722500000001
2000,3,0,0.011578524999999997
2000,3,1,-0.011096179487179484
2000,3,2,0.07377505128205128
2000,3,3,0.01763751282051282
2000,3,4,0.046010974999999996
2000,3,5,0.019135999999999997
2000,3,6,-0.005742025641025641
2000,3,7,0.06598553846153846
2000,3,8,0.022172820512820515
2000,3,9,0.012553775
2000,3,diff,0.0009752500000000022
2000,4,0,-0.1804395
2000,4,1,-0.07073894871794871
2000,4,2,-0.06408876923076923
2000,4,3,-0.02600938461538461
2000,4,4,-0.018442615384615387
2000,4,5,-0.003842179487179489
2000,4,6,-0.04190253846153846
2000,4,7,-0.021826948717948717
2000,4,8,-0.0029262051282051282
2000,4,9,-0.015238179487179489
2000,4,diff,0.16520132051282052
2000,5,0,-0.13568146511627907
2000,5,1,-0.10020911904761906
2000,5,2,-0.012309571428571434
2000,5,3,-0.004443837209302326
2000,5,4,0.012421166666666669
2000,5,5,-0.04191502380952381
2000,5,6,-0.01645060465116279
2000,5,7,-0.016792500000000002
2000,5,8,-0.034051452380952384
2000,5,9,-0.023216767441860464
2000,5,diff,0.1124646976744186
2000,6,0,0.1385965238095238
2000,6,1,0.1005100975609756
2000,6,2,0.0464989512195122
2000,6,3,0.0896339268292683
2000,6,4,0.06960354761904762
2000,6,5,0.048773658536585364
2000,6,6,0.06043041463414635
2000,6,7,-0.005904780487804876
2000,6,8,0.012189780487804879
2000,6,9,-0.019867880952380953
2000,6,diff,-0.15846440476190476
2000,7,0,-0.02229519047619048
2000,7,1,0.028319463414634146
2000,7,2,-0.03256217073170732
2000,7,3,0.003378878048780489
2000,7,4,-0.02286641463414634
2000,7,5,-0.016112365853658536
2000,7,6,0.03173078048780488
2000,7,7,0.04344173170731708
2000,7,8,0.010835292682926831
2000,7,9,-0.010556121951219513
2000,7,diff,0.011739068524970966
2000,8,0,0.06017192682926829
2000,8,1,0.07382348780487805
2000,8,2,0.011414949999999998
2000,8,3,0.08501036585365854
2000,8,4,0.029328775
2000,8,5,0.04941909756097561
2000,8,6,0.072050375
2000,8,7,0.0010507073170731723
2000,8,8,0.035000075000000005
2000,8,9,0.020637878048780492
2000,8,diff,-0.039534048780487795
2000,9,0,-0.07311760975609756
2000,9,1,-0.07136785
2000,9,2,0.0056758
2000,9,3,-0.019351926829268295
2000,9,4,-0.07308467500000002
2000,9,5,0.036452175
2000,9,6,-0.041669756097560975
2000,9,7,0.082515025
2000,9,8,-0.017540525
2000,9,9,-0.0644329756097561
2000,9,diff,0.008684634146341463
2000,10,0,-0.07085929268292683
2000,10,1,-0.012475000000000003
2000,10,2,-0.03234405
2000,10,3,-0.027123825
2000,10,4,-0.030216000000000003
2000,10,5,-0.040250749999999995
2000,10,6,-0.034405525
2000,10,7,-0.035078175
2000,10,8,-0.030231425
2000,10,9,-0.11510165853658536
2000,10,diff,-0.044242365853658525
2000,11,0,-0.18491249999999998
2000,11,1,-0.13683620000000002
2000,11,2,-0.06541638461538461
2000,11,3,-0.0804415
2000,11,4,-0.04376823076923077
2000,11,5,-0.036472725
2000,11,6,-0.03506007692307692
2000,11,7,-0.070943225
2000,11,8,-0.019787615384615383
2000,11,9,-0.12033555
2000,11,diff,0.06457694999999998
2000,12,0,-0.01794653846153846
2000,12,1,0.01694774358974359
2000,12,2,0.06433023684210526
2000,12,3,0.03439697435897436
2000,12,4,0.07252317948717948
2000,12,5,0.026411815789473686
2000,12,6,-0.016038717948717952
2000,12,7,0.04288473684210527
2000,12,8,-0.02483176923076923
2000,12,9,0.057469
2000,12,diff,0.07541553846153846
2001,1,0,0.17959441025641026
2001,1,1,0.0808146052631579
2001,1,2,0.12454253846153847
2001,1,3,0.12519497368421054
2001,1,4,0.11944064102564102
2001,1,5,0.17934426315789476
2001,1,6,0.13597523684210527
2001,1,7,0.24612169230769232
2001,1,8,0.14887094736842105
2001,1,9,0.31961187179487177
2001,1,diff,0.1400174615384615
2001,2,0,-0.12128089743589744
2001,2,1,-0.10031926315789474
2001,2,2,-0.07526031578947368
2001,2,3,-0.04146125641025641
2001,2,4,-0.05847065789473684
2001,2,5,-0.017196
2001,2,6,-0.030076871794871795
2001,2,7,0.0014171578947368472
2001,2,8,-0.007945342105263159
2001,2,9,0.013376974358974359
2001,2,diff,0.1346578717948718
2001,3,0,-0.11771813157894738
2001,3,1,-0.11210005263157893
2001,3,2,-0.10980984210526316
2001,3,3,-0.012162973684210527
2001,3,4,-0.025697342105263157
2001,3,5,-0.054580052631578946
2001,3,6,-0.06934442105263158
2001,3,7,-0.0614818947368421
2001,3,8,-0.09715034210526316
2001,3,9,-0.0521248947368421
2001,3,diff,0.06559323684210527
2001,4,0,0.13726218421052633
2001,4,1,0.16358073684210525
2001,4,2,0.06929745945945946
2001,4,3,0.07983978947368421
2001,4,4,0.039406054054054056
2001,4,5,0.031017394736842105
2001,4,6,0.008948810810810809
2001,4,7,0.04603368421052632
2001,4,8,0.04070962162162162
2001,4,9,0.09892126315789473
2001,4,diff,-0.038340921052631594
2001,5,0,0.029216658536585366
2001,5,1,0.020152225000000003
2001,5,2,0.009807199999999999
2001,5,3,0.08029585
2001,5,4,0.076125125
2001,5,5,0.05427735
2001,5,6,0.06233135000000001
2001,5,7,0.13704785
2001,5,8,0.035329849999999996
2001,5,9,0.08121737500000001
2001,5,diff,0.05200071646341464
2001,6,0,0.021347274999999995
2001,6,1,0.033681775
2001,6,2,0.04127553846153847
2001,6,3,0.044490275
2001,6,4,0.051548000000000004
2001,6,5,0.057138274999999995
2001,6,6,0.02927725641025641
2001,6,7,0.025765899999999998
2001,6,8,0.013181923076923079
2001,6,9,0.014909649999999997
2001,6,diff,-0.006437624999999999
2001,7,0,-0.06522947500000001
2001,7,1,-0.0541967435897436
2001,7,2,-0.031455589743589744
2001,7,3,-0.032959333333333334
2001,7,4,-0.017103600000000004
2001,7,5,-0.009580307692307692
2001,7,6,-0.02714715384615384
2001,7,7,-0.03732430769230769
2001,7,8,-0.008058358974358975
2001,7,9,1.4075000000000893e-05
2001,7,diff,0.06524355000000001
